Name,Description,Latitude,Longitude,InfoURL,ImageURL
UCSB,A great university located along the California coast!,34.42,-119.85,"https://en.wikipedia.org/wiki/University_of_California,_Santa_Barbara",https://i0.wp.com/dailynexus.com/wp-content/uploads/2020/03/DSC_0471.jpg?w=1776
Suzhou,"My hometown, a beautiful city in the eastern China",31.3,120.59,https://en.wikipedia.org/wiki/Suzhou,https://upload.wikimedia.org/wikipedia/commons/2/2a/Gate_of_the_Orient_%E4%B8%9C%E6%96%B9%E4%B9%8B%E9%97%A8_dong_fang_zhi_men_Suzhou_photo_Christian_G%C3%A4nshirt_2015.JPG
Gilman Hall,A building in UC Berkeley campus; the place in which two Nobel-recognized chemistry research was completed,37.87,-122.26,https://en.wikipedia.org/wiki/Gilman_Hall,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Gilman_Hall%2C_UC_Berkeley_-_Front_Entrance.jpg/1920px-Gilman_Hall%2C_UC_Berkeley_-_Front_Entrance.jpg
CalTech,"An awesome university in Pasadena, California",34.14,-118.13,https://en.wikipedia.org/wiki/California_Institute_of_Technology,https://caltech-prod.s3.amazonaws.com/main/images/students-walking.2e16d0ba.fill-1600x900-c100.jpg
The Met,A fantastic museum in New York City,40.78,-73.96,https://en.wikipedia.org/wiki/Metropolitan_Museum_of_Art,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/The_Metropolitan_Museum_of_Art.jpg/1920px-The_Metropolitan_Museum_of_Art.jpg
Shanghai,A major metropolis in the eastern China,31.3,121.46,https://en.wikipedia.org/wiki/Shanghai,https://upload.wikimedia.org/wikipedia/commons/0/09/The_Hong_Kong_and_Shanghai_Bank%2C_built_in_1923_and_The_Customs_House_built_in_1927.jpg
